source,source_sha256,line,class,method,package,target,kind,scope,scope_observation,nearby_literals,permission_markers,identity_markers,user_scope_markers,callsite,direct_fire_literal,direct_home_literal,device_mutation
/Users/bob/Documents/Codex/2026-08-03-fire-os-7-framework-amazon-fire/decompiled/baksmali/vdexExtractor/boot-framework-dis/disassembly.log,5ef6a8c6edea903e3bf7e5298be02041dc46be06881438457e79cbf8501b76df,939289,android.content.pm.IPackageManager$Stub,<unknown>,android.content.pm,setApplicationEnabledSetting,direct_callsite,aosp_framework,AOSP/system_server or framework namespace,,,,,"0866ae: 7406 5c52 0000 |08f1: invoke-virtual/range {v0, v1, v2, v3, v4, v5}, Landroid/content/pm/IPackageManager$Stub;.setApplicationEnabledSetting:(Ljava/lang/String;IIILjava/lang/String;)V // method@525c",false,false,false
/Users/bob/Documents/Codex/2026-08-03-fire-os-7-framework-amazon-fire/decompiled/baksmali/vdexExtractor/boot-framework-dis/disassembly.log,5ef6a8c6edea903e3bf7e5298be02041dc46be06881438457e79cbf8501b76df,939327,android.content.pm.IPackageManager$Stub,<unknown>,android.content.pm,setComponentEnabledSetting,direct_callsite,aosp_framework,AOSP/system_server or framework namespace,,,,,"08673e: 6e53 5f52 0821 |0939: invoke-virtual {v8, v0, v1, v2, v3}, Landroid/content/pm/IPackageManager$Stub;.setComponentEnabledSetting:(Landroid/content/ComponentName;III)V // method@525f",false,false,false
/Users/bob/Documents/Codex/2026-08-03-fire-os-7-framework-amazon-fire/decompiled/baksmali/vdexExtractor/boot-framework-dis/disassembly.log,5ef6a8c6edea903e3bf7e5298be02041dc46be06881438457e79cbf8501b76df,939343,android.content.pm.IPackageManager$Stub,<unknown>,android.content.pm,setHomeActivity,direct_callsite,aosp_framework,AOSP/system_server or framework namespace,Home,,,,"08677a: 6e30 6252 0801 |0957: invoke-virtual {v8, v0, v1}, Landroid/content/pm/IPackageManager$Stub;.setHomeActivity:(Landroid/content/ComponentName;I)V // method@5262",false,true,false
/Users/bob/Documents/Codex/2026-08-03-fire-os-7-framework-amazon-fire/decompiled/baksmali/vdexExtractor/boot-framework-dis/disassembly.log,5ef6a8c6edea903e3bf7e5298be02041dc46be06881438457e79cbf8501b76df,939487,<unknown>,<unknown>,<unknown>,setPackagesSuspendedAsUser,direct_callsite,other,non-Amazon bounded corpus,,,,AsUser,"0869da: 7408 6852 0000 |0a87: invoke-virtual/range {v0, v1, v2, v3, v4, v5, v6, v7}, Landroid/content/pm/IPackageManager$Stub;.setPackagesSuspendedAsUser:([Ljava/lang/String;ZLandroid/os/PersistableBundle;Landroid/os/PersistableBundle;Ljava/lang/String;Ljava/lang/String;I)[Ljava/lang/String; // method@5268",false,false,false
/Users/bob/Documents/Codex/2026-08-03-fire-os-7-framework-amazon-fire/decompiled/baksmali/vdexExtractor/boot-framework-dis/disassembly.log,5ef6a8c6edea903e3bf7e5298be02041dc46be06881438457e79cbf8501b76df,939557,<unknown>,<unknown>,<unknown>,addPersistentPreferredActivity,direct_callsite,other,non-Amazon bounded corpus,,,,,"086ae6: 6e40 b651 1820 |0b0d: invoke-virtual {v8, v1, v0, v2}, Landroid/content/pm/IPackageManager$Stub;.addPersistentPreferredActivity:(Landroid/content/IntentFilter;Landroid/content/ComponentName;I)V // method@51b6",false,false,false
/Users/bob/Documents/Codex/2026-08-03-fire-os-7-framework-amazon-fire/decompiled/baksmali/vdexExtractor/boot-framework-dis/disassembly.log,5ef6a8c6edea903e3bf7e5298be02041dc46be06881438457e79cbf8501b76df,939577,<unknown>,<unknown>,<unknown>,clearPackagePreferredActivities,direct_callsite,other,non-Amazon bounded corpus,,,,,"086b46: 6e20 c751 0800 |0b3d: invoke-virtual {v8, v0}, Landroid/content/pm/IPackageManager$Stub;.clearPackagePreferredActivities:(Ljava/lang/String;)V // method@51c7",false,false,false
/Users/bob/Documents/Codex/2026-08-03-fire-os-7-framework-amazon-fire/decompiled/baksmali/vdexExtractor/boot-framework-dis/disassembly.log,5ef6a8c6edea903e3bf7e5298be02041dc46be06881438457e79cbf8501b76df,939613,<unknown>,<unknown>,<unknown>,replacePreferredActivity,direct_callsite,other,non-Amazon bounded corpus,,,,,"086bc6: 7406 4d52 0000 |0b7d: invoke-virtual/range {v0, v1, v2, v3, v4, v5}, Landroid/content/pm/IPackageManager$Stub;.replacePreferredActivity:(Landroid/content/IntentFilter;I[Landroid/content/ComponentName;Landroid/content/ComponentName;I)V // method@524d",false,false,false
/Users/bob/Documents/Codex/2026-08-03-fire-os-7-framework-amazon-fire/decompiled/baksmali/vdexExtractor/boot-framework-dis/disassembly.log,5ef6a8c6edea903e3bf7e5298be02041dc46be06881438457e79cbf8501b76df,939649,<unknown>,<unknown>,<unknown>,addPreferredActivity,direct_callsite,other,non-Amazon bounded corpus,,,,,"086c46: 7406 b751 0000 |0bbd: invoke-virtual/range {v0, v1, v2, v3, v4, v5}, Landroid/content/pm/IPackageManager$Stub;.addPreferredActivity:(Landroid/content/IntentFilter;I[Landroid/content/ComponentName;Landroid/content/ComponentName;I)V // method@51b7",false,false,false
/Users/bob/Documents/Codex/2026-08-03-fire-os-7-framework-amazon-fire/decompiled/baksmali/vdexExtractor/boot-framework-dis/disassembly.log,5ef6a8c6edea903e3bf7e5298be02041dc46be06881438457e79cbf8501b76df,1512164,com.android.internal.inputmethod.InputMethodUtils,setDisabledUntilUsed (Landroid/content/pm/IPackageManager;Ljava/lang/String;ILjava/lang/String;)V,com.android.internal.inputmethod,setApplicationEnabledSetting,direct_callsite,other,non-Amazon bounded corpus,,,,,"8a6700: 7806 7b03 0200 |0011: invoke-interface/range {v2, v3, v4, v5, v6, v7}, Landroid/content/pm/IPackageManager;.setApplicationEnabledSetting:(Ljava/lang/String;IIILjava/lang/String;)V // method@037b",false,false,false
/Users/bob/Documents/Codex/2026-08-03-fire-os-7-framework-amazon-fire/decompiled/baksmali/vdexExtractor/boot-framework-dis/disassembly.log,5ef6a8c6edea903e3bf7e5298be02041dc46be06881438457e79cbf8501b76df,2228854,<unknown>,<unknown>,<unknown>,addPreferredActivity,direct_callsite,other,non-Amazon bounded corpus,,,,UserId,"[new] a56c98: 6e58 8903 67de |01bb: invoke-virtual {v7, v6, v14, v13, v8}, Landroid/content/pm/PackageManager;.addPreferredActivity:(Landroid/content/IntentFilter;I[Landroid/content/ComponentName;Landroid/content/ComponentName;)V // method@0389",false,false,false
