class_number	class_name	descriptor	start_line	end_line	direct_methods	virtual_methods
2500	SingleDocumentFile	Landroid/support/v4/provider/SingleDocumentFile;	409727	409899	1	16
2501	TreeDocumentFile	Landroid/support/v4/provider/TreeDocumentFile;	409900	410223	3	16
2502	TextDirectionHeuristicsCompat.AnyStrong	Landroid/support/v4/text/TextDirectionHeuristicsCompat$AnyStrong;	410224	410288	2	1
2503	TextDirectionHeuristicsCompat.FirstStrong	Landroid/support/v4/text/TextDirectionHeuristicsCompat$FirstStrong;	410289	410325	2	1
2504	TextDirectionHeuristicsCompat.TextDirectionHeuristicImpl	Landroid/support/v4/text/TextDirectionHeuristicsCompat$TextDirectionHeuristicImpl;	410326	410392	2	3
2505	ArrayMap.1	Landroid/support/v4/util/ArrayMap$1;	410393	410492	1	9
2506	ArrayMap	Landroid/support/v4/util/ArrayMap;	410493	410612	4	7
2507	ArraySet.1	Landroid/support/v4/util/ArraySet$1;	410613	410704	1	9
2508	Pools.SimplePool	Landroid/support/v4/util/Pools$SimplePool;	410705	410795	2	2
2509	AbsSavedState.1	Landroid/support/v4/view/AbsSavedState$1;	410796	410807	1	0
2510	GestureDetectorCompat.GestureDetectorCompatImplBase	Landroid/support/v4/view/GestureDetectorCompat$GestureDetectorCompatImplBase;	410808	411576	6	5
2511	GestureDetectorCompat.GestureDetectorCompatImplJellybeanMr2	Landroid/support/v4/view/GestureDetectorCompat$GestureDetectorCompatImplJellybeanMr2;	411577	411630	1	4
2512	NestedScrollingChild2	Landroid/support/v4/view/NestedScrollingChild2;	411631	411649	0	5
2513	NestedScrollingParent2	Landroid/support/v4/view/NestedScrollingParent2;	411650	411668	0	5
2514	PagerTabStrip	Landroid/support/v4/view/PagerTabStrip;	411669	412199	2	14
2515	PagerTitleStrip.PageListener	Landroid/support/v4/view/PagerTitleStrip$PageListener;	412200	412345	1	5
2516	ViewPager.4	Landroid/support/v4/view/ViewPager$4;	412346	412459	1	1
2517	ViewPager.MyAccessibilityDelegate	Landroid/support/v4/view/ViewPager$MyAccessibilityDelegate;	412460	412627	2	3
2518	ViewPager.SavedState	Landroid/support/v4/view/ViewPager$SavedState;	412628	412715	3	2
2519	ViewPager.SimpleOnPageChangeListener	Landroid/support/v4/view/ViewPager$SimpleOnPageChangeListener;	412716	412736	1	3
2520	ViewPropertyAnimatorCompat.ViewPropertyAnimatorListenerApi14	Landroid/support/v4/view/ViewPropertyAnimatorCompat$ViewPropertyAnimatorListenerApi14;	412737	412867	1	3
2521	ViewPropertyAnimatorListenerAdapter	Landroid/support/v4/view/ViewPropertyAnimatorListenerAdapter;	412868	412888	1	3
2522	AccessibilityManagerCompat.AccessibilityStateChangeListenerCompat	Landroid/support/v4/view/accessibility/AccessibilityManagerCompat$AccessibilityStateChangeListenerCompat;	412889	412897	1	0
2523	AccessibilityNodeProviderCompat.AccessibilityNodeProviderApi19	Landroid/support/v4/view/accessibility/AccessibilityNodeProviderCompat$AccessibilityNodeProviderApi19;	412898	412924	1	1
2524	FastOutLinearInInterpolator	Landroid/support/v4/view/animation/FastOutLinearInInterpolator;	412925	412954	2	1
2525	FastOutSlowInInterpolator	Landroid/support/v4/view/animation/FastOutSlowInInterpolator;	412955	412983	2	1
2526	LinearOutSlowInInterpolator	Landroid/support/v4/view/animation/LinearOutSlowInInterpolator;	412984	413012	2	1
2527	CursorAdapter	Landroid/support/v4/widget/CursorAdapter;	413013	413433	3	20
2528	DrawerLayout.AccessibilityDelegate	Landroid/support/v4/widget/DrawerLayout$AccessibilityDelegate;	413434	413656	3	4
2529	DrawerLayout.ChildAccessibilityDelegate	Landroid/support/v4/widget/DrawerLayout$ChildAccessibilityDelegate;	413657	413679	1	1
2530	DrawerLayout.SavedState	Landroid/support/v4/widget/DrawerLayout$SavedState;	413680	413764	3	1
2531	DrawerLayout.SimpleDrawerListener	Landroid/support/v4/widget/DrawerLayout$SimpleDrawerListener;	413765	413789	1	4
2532	DrawerLayout.ViewDragCallback	Landroid/support/v4/widget/DrawerLayout$ViewDragCallback;	413790	414210	2	14
2533	ExploreByTouchHelper.1	Landroid/support/v4/widget/ExploreByTouchHelper$1;	414211	414236	1	2
2534	ExploreByTouchHelper.2	Landroid/support/v4/widget/ExploreByTouchHelper$2;	414237	414280	1	4
2535	ExploreByTouchHelper.MyNodeProvider	Landroid/support/v4/widget/ExploreByTouchHelper$MyNodeProvider;	414281	414337	1	3
2536	ExploreByTouchHelper	Landroid/support/v4/widget/ExploreByTouchHelper;	414338	415548	21	25
2537	ListViewAutoScrollHelper	Landroid/support/v4/widget/ListViewAutoScrollHelper;	415549	415622	1	3
2538	NestedScrollView.AccessibilityDelegate	Landroid/support/v4/widget/NestedScrollView$AccessibilityDelegate;	415623	415788	1	3
2539	SlidingPaneLayout.AccessibilityDelegate	Landroid/support/v4/widget/SlidingPaneLayout$AccessibilityDelegate;	415789	415975	2	4
2540	SlidingPaneLayout.DragHelperCallback	Landroid/support/v4/widget/SlidingPaneLayout$DragHelperCallback;	415976	416279	1	9
2541	SlidingPaneLayout.SavedState	Landroid/support/v4/widget/SlidingPaneLayout$SavedState;	416280	416324	3	1
2542	SlidingPaneLayout.SimplePanelSlideListener	Landroid/support/v4/widget/SlidingPaneLayout$SimplePanelSlideListener;	416325	416345	1	3
2543	SwipeRefreshLayout	Landroid/support/v4/widget/SwipeRefreshLayout;	416346	418259	19	49
2544	CustomVersionedParcelable	Landroidx/versionedparcelable/CustomVersionedParcelable;	418260	418276	1	2
2545	VersionedParcelParcel	Landroidx/versionedparcelable/VersionedParcelParcel;	418277	418733	3	26
2546	VersionedParcelStream	Landroidx/versionedparcelable/VersionedParcelStream;	418734	419614	4	28
2547	BluetoothMetricsProto.A2DPSessionOrBuilder	Lcom/android/bluetooth/BluetoothMetricsProto$A2DPSessionOrBuilder;	419615	419666	0	16
2548	BluetoothMetricsProto.BluetoothLogOrBuilder	Lcom/android/bluetooth/BluetoothMetricsProto$BluetoothLogOrBuilder;	419667	419754	0	28
2549	BluetoothMetricsProto.BluetoothSession.ConnectionTechnologyType.1	Lcom/android/bluetooth/BluetoothMetricsProto$BluetoothSession$ConnectionTechnologyType$1;	419755	419778	1	2
2550	BluetoothMetricsProto.BluetoothSession.ConnectionTechnologyType	Lcom/android/bluetooth/BluetoothMetricsProto$BluetoothSession$ConnectionTechnologyType;	419779	419876	7	1
2551	BluetoothMetricsProto.BluetoothSession.DisconnectReasonType.1	Lcom/android/bluetooth/BluetoothMetricsProto$BluetoothSession$DisconnectReasonType$1;	419877	419900	1	2
2552	BluetoothMetricsProto.BluetoothSession.DisconnectReasonType	Lcom/android/bluetooth/BluetoothMetricsProto$BluetoothSession$DisconnectReasonType;	419901	419998	7	1
2553	BluetoothMetricsProto.BluetoothSessionOrBuilder	Lcom/android/bluetooth/BluetoothMetricsProto$BluetoothSessionOrBuilder;	419999	420047	0	15
