root,file,line,class,method,kind,description,excerpt
decompiled/jadx/firelauncher/sources/com/amazon,decompiled/jadx/firelauncher/sources/com/amazon/fireappscardproducer/apps/AppCategoryProvider.java,4,,,home_control,HOME/launcher control marker,import com.amazon.firelauncher.restrictions.RestrictionConstants;
decompiled/jadx/firelauncher/sources/com/amazon,decompiled/jadx/firelauncher/sources/com/amazon/fireappscardproducer/apps/AppId.java,23,AppId,getActivityName,pending_intent,PendingIntent or callback dispatch,public String getActivityName() {
decompiled/jadx/firelauncher/sources/com/amazon,decompiled/jadx/firelauncher/sources/com/amazon/fireappscardproducer/apps/CardAppIconInventory.java,49,CardAppIconInventory,createImageFile,pending_intent,PendingIntent or callback dispatch,"Drawable drawableCreate = this.pmIconDrawable.create(PackageManagerProvider.getPackageManager(this.context).getActivityInfo(new ComponentName(str, str2), TemplateIds.TEMPLATE_128), this.context.getResources().getDimensionPixelSize(R$dimen.apps_lib_icon_size));"
decompiled/jadx/firelauncher/sources/com/amazon,decompiled/jadx/firelauncher/sources/com/amazon/fireappscardproducer/apps/DefaultAutoDownloadedAppState.java,7,,,home_control,HOME/launcher control marker,import com.amazon.firelauncher.cardproducer.utils.PreferenceUtils;
decompiled/jadx/firelauncher/sources/com/amazon,decompiled/jadx/firelauncher/sources/com/amazon/fireappscardproducer/apps/PackageManagerUtils.java,11,,,home_control,HOME/launcher control marker,import com.amazon.firelauncher.restrictions.RestrictionConstants;
decompiled/jadx/firelauncher/sources/com/amazon,decompiled/jadx/firelauncher/sources/com/amazon/fireappscardproducer/apps/PackageManagerUtils.java,26,PackageManagerUtils,getLaunchableActivities,pending_intent,PendingIntent or callback dispatch,List<ActivityInfo> activityInfos = getActivityInfos(str);
decompiled/jadx/firelauncher/sources/com/amazon,decompiled/jadx/firelauncher/sources/com/amazon/fireappscardproducer/apps/PackageManagerUtils.java,36,PackageManagerUtils,getAppLabel,pending_intent,PendingIntent or callback dispatch,for (ActivityInfo activityInfo : getActivityInfos(str)) {
decompiled/jadx/firelauncher/sources/com/amazon,decompiled/jadx/firelauncher/sources/com/amazon/fireappscardproducer/apps/PackageManagerUtils.java,53,PackageManagerUtils,getActivityInfos,pending_intent,PendingIntent or callback dispatch,private List<ActivityInfo> getActivityInfos(String str) {
decompiled/jadx/firelauncher/sources/com/amazon,decompiled/jadx/firelauncher/sources/com/amazon/fireappscardproducer/apps/SimpleApp.java,20,,,home_control,HOME/launcher control marker,import com.amazon.firelauncher.ContentTypes;
decompiled/jadx/firelauncher/sources/com/amazon,decompiled/jadx/firelauncher/sources/com/amazon/fireappscardproducer/apps/SimpleApp.java,21,,,home_control,HOME/launcher control marker,import com.amazon.firelauncher.RemoveActions;
decompiled/jadx/firelauncher/sources/com/amazon,decompiled/jadx/firelauncher/sources/com/amazon/fireappscardproducer/apps/SimpleApp.java,22,,,home_control,HOME/launcher control marker,import com.amazon.firelauncher.Targets;
